1,24
2,9
2,19
2,26
2,28
2,30
3,29
6,13
6,14
6,15
7,24
7,27
7,29
7,30
8,19
8,25
8,30
9,2
9,12
9,14
9,20
9,23
9,25
9,28
10,14
10,19
10,27
10,30
11,15
11,17
11,22
11,28
11,30
12,9
12,15
12,18
12,20
12,21
12,22
12,23
12,24
12,25
13,6
13,14
13,16
13,23
13,25
13,29
14,6
14,9
14,10
14,13
14,20
14,21
14,24
14,25
15,11
15,12
15,21
15,23
15,28
15,29
16,13
16,20
16,21
16,23
16,24
16,25
16,30
17,11
17,22
17,29
18,6
18,12
18,20
18,22
18,23
18,26
18,27
18,28
18,30
19,2
19,8
19,10
19,22
19,30
20,9
20,12
20,14
20,16
20,18
20,22
20,23
20,24
21,12
21,14
21,15
21,16
22,11
22,12
22,17
22,18
22,19
22,20
22,30
23,9
23,12
23,13
23,15
23,16
23,18
23,20
23,24
23,25
23,26
23,27
23,28
23,30
24,1
24,7
24,12
24,14
24,16
24,20
24,23
24,30
25,8
25,9
25,12
25,13
25,14
25,16
25,23
25,26
25,27
25,28
26,2
26,18
26,23
26,25
26,30
27,7
27,10
27,18
27,23
27,25
27,28
28,2
28,9
28,11
28,15
28,18
28,23
28,25
28,27
28,30
29,3
29,7
29,13
29,15
29,17
30,2
30,7
30,8
30,10
30,11
30,16
30,18
30,19
30,22
30,23
30,24
30,26
30,28
